"Variables","Asian or Asian British","Black or Black British","Mixed","Other Ethnic Group","Unknown","White","p","test"
"n","472,195","189,610","88,695","77,135","237,180","4,958,840","",NA
"age (mean (SD))","44.31 (15.17)","44.72 (15.35)","39.00 (14.33)","42.85 (15.00)","41.09 (17.30)","46.88 (17.58)","<0.001",NA
"sex = 2 (%)","275,850 (58.4)","120,470 (63.5)","56,675 (63.9)","46,075 (59.7)","134,460 (56.7)","2,992,540 (60.3)","<0.001",NA
"IMD_quintile (%)","","","","","","","<0.001",NA
"   IMD_1","143,760 (30.5)","70,880 (37.5)","24,455 (27.5)","22,200 (28.8)","47,115 (19.8)","1,014,240 (20.4)","",NA
"   IMD_2","126,545 (26.8)","59,795 (31.5)","22,725 (25.6)","20,900 (27.1)","47,115 (19.8)","980,700 (19.7)","",NA
"   IMD_3","88,505 (18.7)","31,110 (16.4)","16,990 (19.2)","14,220 (18.4)","47,630 (20.1)","991,335 (20.0)","",NA
"   IMD_4","62,730 (13.3)","17,155 (9.0)","13,355 (15.1)","11,010 (14.3)","47,830 (20.2)","1,009,125 (20.4)","",NA
"   IMD_5","50,425 (10.7)","10,520 (5.5)","11,100 (12.5)","8,750 (11.3)","47,370 (20.0)","960,045 (19.4)","",NA
"   IMD_Unknown","230 (0.0)","150 (0.1)","70 (0.1)","55 (0.1)","120 (0.1)","3,395 (0.1)","",NA
"smoking = 1 (%)","142,460 (30.2)","67,635 (35.7)","42,850 (48.3)","34,720 (45.0)","117,870 (49.7)","2,815,515 (56.8)","<0.001",NA
"AF = 1 (%)","5,350 (1.1)","2,405 (1.3)","855 (1.0)","1,245 (1.6)","4,995 (2.1)","171,590 (3.5)","<0.001",NA
"CKD = 1 (%)","24,965 (5.3)","13,200 (7.0)","2,875 (3.2)","2,590 (3.4)","8,805 (3.7)","276,635 (5.6)","<0.001",NA
"diabetes = 1 (%)","98,115 (20.8)","28,970 (15.3)","7,420 (8.4)","8,140 (10.6)","14,875 (6.3)","396,290 (8.0)","<0.001",NA
"schizophrenia = 1 (%)","2,855 (0.6)","2,345 (1.2)","735 (0.8)","425 (0.6)","650 (0.3)","17,005 (0.3)","<0.001",NA
"bipolardisorder = 1 (%)","1,805 (0.4)","1,025 (0.5)","625 (0.7)","375 (0.5)","950 (0.4)","27,665 (0.6)","<0.001",NA
"depression = 1 (%)","8,935 (1.9)","3,435 (1.8)","2,450 (2.8)","1,875 (2.4)","8,750 (3.7)","167,065 (3.4)","<0.001",NA
"RA = 1 (%)","5,895 (1.2)","1,495 (0.8)","655 (0.7)","600 (0.8)","1,635 (0.7)","49,655 (1.0)","<0.001",NA
"anti_hypertensive_drugs = 1 (%)","930 (0.2)","965 (0.5)","160 (0.2)","120 (0.2)","250 (0.1)","7,410 (0.1)","<0.001",NA
