"Variables","Bangladeshi","Chinese","Indian","Pakistani","Black African","Black Caribbean","Mixed","Other","White British","White other","p","test"
"n","49,645","14,330","169,785","142,835","98,080","59,120","88,695","442,330","4,441,520","517,320","",NA
"age (mean (SD))","41.76 (14.56)","43.63 (15.23)","46.23 (15.40)","42.73 (15.29)","43.45 (13.58)","48.38 (17.65)","39.00 (14.33)","42.22 (16.20)","47.15 (17.76)","44.62 (15.79)","<0.001",NA
"sex = 2 (%)","28,765 (57.9)","9,560 (66.7)","96,745 (57.0)","83,245 (58.3)","62,840 (64.1)","37,410 (63.3)","56,675 (63.9)","258,285 (58.4)","2,660,345 (59.9)","332,195 (64.2)","<0.001",NA
"IMD_quintile (%)","","","","","","","","","","","<0.001",NA
"   IMD_1","20,805 (41.8)","2,530 (17.6)","30,400 (18.0)","67,995 (47.6)","38,715 (39.4)","20,750 (35.2)","24,455 (27.5)","102,770 (23.1)","901,955 (20.3)","112,285 (21.7)","",NA
"   IMD_2","16,610 (33.5)","3,205 (22.4)","44,365 (26.1)","35,860 (25.1)","30,555 (31.2)","19,060 (32.2)","22,725 (25.6)","104,700 (23.7)","860,165 (19.4)","120,535 (23.3)","",NA
"   IMD_3","6,800 (13.7)","2,805 (19.6)","38,380 (22.6)","19,530 (13.7)","14,865 (15.2)","10,765 (18.2)","16,990 (19.2)","88,310 (20.0)","885,710 (19.9)","105,630 (20.4)","",NA
"   IMD_4","3,480 (7.0)","2,750 (19.2)","29,875 (17.6)","11,695 (8.2)","8,440 (8.6)","5,460 (9.2)","13,355 (15.1)","77,025 (17.4)","915,260 (20.6)","93,865 (18.1)","",NA
"   IMD_5","1,925 (3.9)","3,025 (21.1)","26,685 (15.7)","7,705 (5.4)","5,430 (5.5)","3,040 (5.1)","11,100 (12.5)","69,260 (15.7)","875,415 (19.7)","84,625 (16.4)","",NA
"   IMD_Unknown","25 (0.1)","15 (0.1)","80 (0.0)","50 (0.0)","75 (0.1)","45 (0.1)","70 (0.1)","265 (0.1)","3,015 (0.1)","380 (0.1)","",NA
"smoking = 1 (%)","17,415 (35.1)","4,580 (32.0)","46,105 (27.2)","44,280 (31.0)","25,335 (25.8)","28,675 (48.5)","42,850 (48.3)","196,300 (44.4)","2,521,065 (56.8)","294,450 (56.9)","<0.001",NA
"AF = 1 (%)","350 (0.7)","195 (1.4)","2,140 (1.3)","1,580 (1.1)","875 (0.9)","1,190 (2.0)","855 (1.0)","7,670 (1.7)","158,195 (3.6)","13,390 (2.6)","<0.001",NA
"CKD = 1 (%)","2,845 (5.7)","460 (3.2)","9,510 (5.6)","8,125 (5.7)","5,255 (5.4)","6,230 (10.5)","2,875 (3.2)","17,135 (3.9)","256,340 (5.8)","20,290 (3.9)","<0.001",NA
"diabetes = 1 (%)","12,835 (25.9)","1,330 (9.3)","35,390 (20.8)","30,430 (21.3)","14,515 (14.8)","10,770 (18.2)","7,420 (8.4)","44,825 (10.1)","359,645 (8.1)","36,645 (7.1)","<0.001",NA
"schizophrenia = 1 (%)","440 (0.9)","75 (0.5)","825 (0.5)","990 (0.7)","1,030 (1.1)","855 (1.4)","735 (0.8)","2,060 (0.5)","15,210 (0.3)","1,800 (0.3)","<0.001",NA
"bipolardisorder = 1 (%)","215 (0.4)","55 (0.4)","575 (0.3)","630 (0.4)","450 (0.5)","355 (0.6)","625 (0.7)","1,875 (0.4)","24,935 (0.6)","2,730 (0.5)","<0.001",NA
"depression = 1 (%)","960 (1.9)","165 (1.2)","3,210 (1.9)","3,000 (2.1)","1,395 (1.4)","1,320 (2.2)","2,450 (2.8)","12,945 (2.9)","154,395 (3.5)","12,670 (2.4)","<0.001",NA
"RA = 1 (%)","560 (1.1)","115 (0.8)","2,510 (1.5)","1,745 (1.2)","585 (0.6)","655 (1.1)","655 (0.7)","3,455 (0.8)","45,300 (1.0)","4,355 (0.8)","<0.001",NA
"anti_hypertensive_drugs = 1 (%)","140 (0.3)","15 (0.1)","360 (0.2)","265 (0.2)","465 (0.5)","385 (0.7)","160 (0.2)","630 (0.1)","6,650 (0.1)","765 (0.1)","<0.001",NA
"antipsychotic = 1 (%)","100 (0.2)","35 (0.2)","290 (0.2)","290 (0.2)","235 (0.2)","230 (0.4)","305 (0.3)","1,230 (0.3)","15,395 (0.3)","1,355 (0.3)","<0.001",NA
"erectiledysfunction = 1 (%)","220 (0.4)","15 (0.1)","530 (0.3)","590 (0.4)","425 (0.4)","230 (0.4)","200 (0.2)","1,090 (0.2)","11,900 (0.3)","1,065 (0.2)","<0.001",NA
"autoimmune_liver_disease = 1 (%)","40 (0.1)","35 (0.2)","175 (0.1)","205 (0.1)","155 (0.2)","70 (0.1)","80 (0.1)","450 (0.1)","5,400 (0.1)","550 (0.1)","<0.001",NA
"cancer = 1 (%)","10,130 (20.4)","5,405 (37.7)","48,040 (28.3)","33,535 (23.5)","29,920 (30.5)","17,725 (30.0)","26,425 (29.8)","129,095 (29.2)","1,371,225 (30.9)","185,025 (35.8)","<0.001",NA
"copd = 1 (%)","620 (1.2)","70 (0.5)","1,460 (0.9)","1,645 (1.2)","465 (0.5)","915 (1.5)","665 (0.7)","5,470 (1.2)","131,550 (3.0)","10,510 (2.0)","<0.001",NA
"dementia = 1 (%)","405 (0.8)","120 (0.8)","1,405 (0.8)","985 (0.7)","540 (0.6)","1,680 (2.8)","570 (0.6)","5,165 (1.2)","103,560 (2.3)","7,560 (1.5)","<0.001",NA
"hypertension = 1 (%)","11,380 (22.9)","2,380 (16.6)","42,925 (25.3)","28,700 (20.1)","28,330 (28.9)","19,595 (33.1)","12,995 (14.7)","77,180 (17.4)","891,015 (20.1)","92,055 (17.8)","<0.001",NA
"alcohol_problems = 1 (%)","1,025 (2.1)","495 (3.5)","7,240 (4.3)","5,090 (3.6)","3,920 (4.0)","2,450 (4.1)","3,880 (4.4)","15,710 (3.6)","222,595 (5.0)","26,240 (5.1)","<0.001",NA
"alcoholic_liver_disease = 1 (%)","<10 (0.0*)","<10 (<0.1)","140 (0.1)","20 (0.0)","25 (0.0)","15 (0.0)","30 (0.0)","170 (0.0)","3,395 (0.1)","360 (0.1)","<0.001",NA
"anti_coagulant_drugs = 1 (%)","435 (0.9)","155 (1.1)","2,585 (1.5)","2,040 (1.4)","1,310 (1.3)","1,685 (2.9)","1,115 (1.3)","8,575 (1.9)","170,210 (3.8)","14,130 (2.7)","<0.001",NA
"anti_diabetic_drugs = 1 (%)","11,015 (22.2)","985 (6.9)","28,365 (16.7)","25,665 (18.0)","11,085 (11.3)","7,935 (13.4)","5,560 (6.3)","34,535 (7.8)","252,205 (5.7)","26,485 (5.1)","<0.001",NA
"anti_platelet_drugs = 1 (%)","4,355 (8.8)","545 (3.8)","13,965 (8.2)","13,200 (9.2)","4,025 (4.1)","4,225 (7.1)","2,935 (3.3)","21,285 (4.8)","282,455 (6.4)","25,875 (5.0)","<0.001",NA
"statins = 1 (%)","13,955 (28.1)","1,575 (11.0)","39,930 (23.5)","32,450 (22.7)","12,500 (12.7)","10,535 (17.8)","7,880 (8.9)","58,920 (13.3)","695,200 (15.7)","65,220 (12.6)","<0.001",NA
"obesity = 1 (%)","4,280 (8.6)","445 (3.1)","15,675 (9.2)","17,775 (12.4)","12,330 (12.6)","7,595 (12.8)","7,390 (8.3)","37,405 (8.5)","415,550 (9.4)","41,525 (8.0)","<0.001",NA
"osteoporosis = 1 (%)","530 (1.1)","200 (1.4)","3,370 (2.0)","1,580 (1.1)","740 (0.8)","490 (0.8)","630 (0.7)","5,805 (1.3)","101,975 (2.3)","9,215 (1.8)","<0.001",NA
"fracture_of_hip = 1 (%)","70 (0.1)","50 (0.3)","570 (0.3)","290 (0.2)","150 (0.2)","155 (0.3)","205 (0.2)","2,360 (0.5)","52,230 (1.2)","3,735 (0.7)","<0.001",NA
"fracture_of_wrist = 1 (%)","235 (0.5)","95 (0.7)","1,560 (0.9)","1,110 (0.8)","480 (0.5)","400 (0.7)","1,150 (1.3)","7,455 (1.7)","93,890 (2.1)","7,110 (1.4)","<0.001",NA
"pre_covid_cvd_event = 1 (%)","5,390 (10.9)","970 (6.8)","19,345 (11.4)","17,940 (12.6)","7,325 (7.5)","7,855 (13.3)","5,770 (6.5)","39,345 (8.9)","586,960 (13.2)","52,705 (10.2)","<0.001",NA
"pre_covid_cvd_event_1y = 1 (%)","1,770 (3.6)","305 (2.1)","6,125 (3.6)","5,855 (4.1)","2,245 (2.3)","2,950 (5.0)","1,780 (2.0)","12,515 (2.8)","211,295 (4.8)","18,345 (3.5)","<0.001",NA
"death28d = 1 (%)","885 (1.8)","245 (1.7)","2,660 (1.6)","2,290 (1.6)","1,060 (1.1)","1,680 (2.8)","775 (0.9)","4,860 (1.1)","79,145 (1.8)","5,665 (1.1)","<0.001",NA
"death90d = 1 (%)","1,000 (2.0)","275 (1.9)","3,055 (1.8)","2,605 (1.8)","1,230 (1.3)","1,900 (3.2)","875 (1.0)","5,605 (1.3)","91,770 (2.1)","6,575 (1.3)","<0.001",NA
"post_covid_cvd_event_30d = 1 (%)","775 (1.6)","150 (1.0)","2,370 (1.4)","2,530 (1.8)","850 (0.9)","1,185 (2.0)","640 (0.7)","4,265 (1.0)","61,040 (1.4)","5,715 (1.1)","<0.001",NA
"post_covid_cvd_event_1y = 1 (%)","1,935 (3.9)","295 (2.1)","6,255 (3.7)","6,340 (4.4)","2,410 (2.5)","2,780 (4.7)","1,675 (1.9)","11,930 (2.7)","179,770 (4.0)","16,510 (3.2)","<0.001",NA
