"Variables","Indian","Pakistani","Bangladeshi","Chinese","Any other Asian background","African","Caribbean","Any other Black background","White and Black Caribbean","White and Black African","White and Asian","Any other Mixed background","Arab","Any other ethnic group","British","Irish","Gypsy or Irish Traveller","Any other White background","Unknown/Not stated","p","test"
"n","96,745","83,245","28,765","9,560","57,535","62,840","37,410","20,215","16,860","9,790","9,965","20,060","2,980","43,100","2,660,345","20,945","2,070","309,185","134,460","",NA
"age (mean (SD))","45.12 (14.93)","41.66 (14.61)","40.54 (14.13)","42.65 (14.18)","43.67 (13.82)","42.35 (12.99)","47.42 (16.97)","41.07 (14.08)","37.71 (14.34)","40.14 (13.15)","37.81 (13.62)","38.50 (13.33)","40.30 (13.52)","41.92 (14.47)","46.21 (17.51)","50.14 (19.14)","41.53 (14.17)","43.14 (14.83)","41.04 (17.06)","<0.001",NA
"sex = 2 (%)","96,745 (100.0)","83,245 (100.0)","28,765 (100.0)","9,560 (100.0)","57,535 (100.0)","62,840 (100.0)","37,410 (100.0)","20,215 (100.0)","16,860 (100.0)","9,790 (100.0)","9,965 (100.0)","20,060 (100.0)","2,980 (100.0)","43,100 (100.0)","2,660,345 (100.0)","20,945 (100.0)","2,070 (100.0)","309,185 (100.0)","134,460 (100.0)",NA,NA
"IMD_quintile (%)","","","","","","","","","","","","","","","","","","","","<0.001",NA
"   IMD_1","17,145 (17.7)","40,165 (48.2)","12,110 (42.0)","1,595 (16.7)","12,810 (22.2)","24,895 (39.6)","13,435 (35.8)","7,300 (36.2)","5,555 (32.9)","3,105 (31.7)","2,075 (20.8)","5,130 (25.5)","1,090 (36.6)","11,880 (27.5)","548,475 (20.6)","3,780 (18.0)","470 (22.7)","68,265 (22.0)","27,095 (20.2)","",NA
"   IMD_2","25,010 (25.9)","20,525 (24.7)","9,520 (33.1)","2,075 (21.7)","15,845 (27.5)","19,535 (31.1)","12,190 (32.6)","6,410 (31.7)","4,600 (27.3)","2,525 (25.8)","2,190 (22.0)","5,200 (25.9)","755 (25.3)","11,680 (27.1)","516,925 (19.4)","4,595 (21.9)","515 (24.9)","72,405 (23.4)","26,995 (20.1)","",NA
"   IMD_3","21,840 (22.6)","11,365 (13.7)","3,980 (13.8)","1,910 (20.0)","12,695 (22.1)","9,515 (15.1)","6,690 (17.9)","3,325 (16.4)","3,015 (17.9)","1,790 (18.3)","2,035 (20.4)","3,955 (19.7)","540 (18.1)","7,990 (18.5)","529,665 (19.9)","4,500 (21.5)","470 (22.7)","63,085 (20.4)","27,145 (20.2)","",NA
"   IMD_4","17,290 (17.9)","6,685 (8.0)","2,030 (7.1)","1,875 (19.6)","9,250 (16.1)","5,415 (8.6)","3,290 (8.8)","1,980 (9.8)","2,140 (12.7)","1,325 (13.5)","1,855 (18.6)","3,160 (15.8)","370 (12.4)","6,360 (14.8)","544,610 (20.5)","4,120 (19.7)","350 (16.9)","55,520 (18.0)","26,930 (20.0)","",NA
"   IMD_5","15,420 (15.9)","4,475 (5.4)","1,110 (3.9)","2,095 (21.9)","6,895 (12.0)","3,435 (5.5)","1,780 (4.8)","1,180 (5.8)","1,535 (9.1)","1,035 (10.6)","1,805 (18.1)","2,600 (13.0)","220 (7.4)","5,155 (12.0)","518,920 (19.5)","3,935 (18.8)","265 (12.8)","49,700 (16.1)","26,240 (19.5)","",NA
"   IMD_Unknown","40 (0.0)","30 (0.0)","15 (0.1)","10 (0.1)","40 (0.1)","45 (0.1)","25 (0.1)","20 (0.1)","15 (0.1)","10 (0.1)","<10 (<0.1)","15 (0.1)","<10 (<0.3)","35 (0.1)","1,750 (0.1)","15 (0.1)","<10 (<0.5)","210 (0.1)","55 (0.0)","",NA
